Epoch,Train Loss,Test Loss
0,0.14128921777009965,0.1446597196161747
1,0.1240327979127566,0.1535167247056961
2,0.11871784379084906,0.1237299993634224
3,0.11170584186911584,0.11543477065861225
4,0.10701145740846793,0.11107499673962593
5,0.11235584579408169,0.1157779760658741
6,0.10062704781691233,0.10827611610293389
7,0.10239210153619448,0.09669452980160713
8,0.09762939338882765,0.10020064115524292
9,0.09474839071432749,0.10525231584906578
10,0.10657807427148024,0.09831330329179763
11,0.0955655029664437,0.10019916519522667
12,0.09231563123563925,0.09245497658848763
13,0.0937166154384613,0.09600113406777382
14,0.09498104775945346,0.08785605914890766
15,0.09102685339748859,0.099582751840353
16,0.08794842200974623,0.08142664730548858
17,0.09133359640836716,0.09256529882550239
18,0.09247535827259222,0.08645165413618087
19,0.08554875068366527,0.09267756640911103
20,0.09169906601309777,0.07936479039490223
21,0.08172483692566554,0.08804628029465675
22,0.08369263870020707,0.08440040349960327
23,0.07667507616182169,0.09211215376853943
24,0.07894929833710193,0.0740468692034483
25,0.07373339446882407,0.08720270805060863
26,0.08056491340200106,0.06774753481149673
27,0.07390838600695133,0.08995042070746422
28,0.07112560421228409,0.07047484368085861
29,0.0746174627294143,0.07217756509780884
30,0.08311260926226775,0.07834575548768044
31,0.07106116351981957,0.06948599368333816
32,0.06942212954163551,0.07735062167048454
33,0.06739477577308814,0.07197730019688606
34,0.074294950440526,0.07923905216157437
35,0.07357323430478573,0.07528648041188717
36,0.07337398945043484,0.0721656396985054
37,0.07500145379453897,0.06910521313548088
38,0.06547773306568463,0.07913543544709682
39,0.07016981442769368,0.06949095726013184
40,0.06590991392731667,0.06268307492136956
41,0.06189300467570623,0.0708671323955059
42,0.06778861780961355,0.07210429534316062
43,0.06397383523484071,0.06587993763387204
44,0.06022711371382077,0.05164733566343784
45,0.06652107077340284,0.05783177800476551
46,0.062181823700666425,0.08149483613669872
47,0.06618499718606471,0.06734512969851494
48,0.05608034506440163,0.053058852627873423
49,0.05797685620685419,0.06380132883787155
50,0.059992469971378644,0.05308450199663639
51,0.060001138411462304,0.06918645538389682
52,0.05540292623142402,0.055479028075933454
53,0.052351374613742035,0.0575882975012064
54,0.05746428469816844,0.06152504794299603
55,0.05578071301182111,0.06646913066506385
56,0.05399421323090792,0.05056266821920872
57,0.0542833236977458,0.05641146823763847
58,0.051900761760771276,0.047335045784711836
59,0.0436798586199681,0.04801698699593544
60,0.05354702832798163,0.059600134193897245
61,0.05251367681970199,0.05438321009278298
62,0.06077640559524298,0.06936483159661293
63,0.06184471063315868,0.05954309105873108
64,0.061663203438123065,0.05606242194771767
65,0.053524319020410376,0.06305224895477295
66,0.05135734621435404,0.059517302364110944
67,0.04878481024255355,0.052952215820550916
68,0.04652656801044941,0.056374313309788704
69,0.0499456907932957,0.05154085326939821
70,0.04706196381400029,0.04960048869252205
71,0.05118170734494924,0.044217304512858394
72,0.046467385192712145,0.04010931383818388
73,0.0446680523455143,0.043402919359505174
74,0.04337305674950282,0.04860407467931509
75,0.0445601487532258,0.050361354276537894
76,0.039631122661133604,0.04357577040791512
77,0.047223897029956184,0.052811083197593686
78,0.05016642697155475,0.04642842225730419
79,0.04113327115774155,0.04299490880221128
80,0.04338712400446335,0.04010424502193928
81,0.052971787936985495,0.05332114137709141
82,0.04666112226744493,0.05050542093813419
83,0.041062399931252005,0.046036914922297
84,0.04054587228844563,0.049247061274945735
85,0.04193992726504803,0.04843106083571911
86,0.04922540032615264,0.06006016358733177
87,0.045018246831993264,0.05041315704584122
88,0.04514233929415544,0.051368077471852305
89,0.04263641238212586,0.048992369696497916
90,0.039738067363699274,0.03845167644321919
91,0.042317377279202144,0.04139044769108295
92,0.03790796479831139,0.03828761782497168
93,0.03617220049103101,0.03587332330644131
94,0.03854524449755748,0.04557519871741533
95,0.039865362582107385,0.04169575795531273
96,0.03774625578274329,0.037847616150975226
97,0.04388363528996706,0.04391203261911869
98,0.0412344499801596,0.04497315995395183
99,0.04462871340413888,0.047089559212327006
